year2,state,fsize,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,d_flag,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1977,08,c) 10 to 19,5432,5983,76158,73927,773,13.3,404,7,21602,10917,10685,14.8,29.2,17140,8601,8539,11.6,23.2,4462,6,46.4,0,263,272,6905
1977,08,d) 20 to 49,3171,3857,95533,93477,514,13.7,294,7.9,23951,11288,12663,12.1,25.6,19838,9590,10248,10.3,21.2,4113,4.4,42.4,0,113,116,6472
1977,08,e) 50 to 99,1048,1667,64867,63186,250,15.7,106,6.7,14595,6706,7889,10.6,23.1,11232,4819,6413,7.6,17.8,3363,5.3,35.6,0,23,24,2871
1977,08,f) 100 to 249,657,1432,67095,64738,162,11.7,88,6.3,14295,6335,7960,9.8,22.1,9580,3468,6112,5.4,14.8,4715,7.3,29.6,0,8,8,1874
1977,08,g) 250 to 499,296,736,30510,29128,87,12.1,52,7.3,6678,2650,4028,9.1,22.9,3914,1439,2475,4.9,13.4,2764,9.5,26.8,0,,,
1977,08,h) 500 to 999,239,614,30605,29932,71,11.7,53,8.8,5843,3153,2690,10.5,19.5,4496,1770,2726,5.9,15,1347,4.5,30,1,1,1,
1977,08,i) 1000 to 2499,322,976,52492,51103,168,18.1,76,8.2,8046,3703,4343,7.2,15.7,5267,1235,4032,2.4,10.3,2779,5.4,20.6,0,,,
1977,08,j) 2500 to 4999,229,758,33689,28507,104,14.1,62,8.4,13441,2313,11128,8.1,47.1,3076,1429,1647,5,10.8,10365,36.3,21.6,0,,,
1977,08,k) 5000 to 9999,194,614,47382,48742,68,10.9,93,14.9,7652,2866,4786,5.9,15.7,10371,1545,8826,3.2,21.3,-2719,-5.6,31.4,0,,,
1977,08,l) 10000+,359,3207,179475,174827,374,11.8,344,10.8,29787,8896,20891,5.1,17,20491,5640,14851,3.2,11.7,9296,5.3,23.4,0,,,
1977,09,a) 1 to 4,31398,31500,68353,64493,6539,21.1,5060,16.4,24801,14993,9808,23.2,38.5,17081,11533,5548,17.9,26.5,7720,12,53,0,3678,3684,8769
1977,09,b) 5 to 9,10162,10419,69110,66279,816,7.9,505,4.9,17763,7693,10070,11.6,26.8,12101,5691,6410,8.6,18.3,5662,8.5,36.6,0,347,352,4243
1977,09,c) 10 to 19,5593,5994,77645,74652,434,7.4,253,4.3,16904,5991,10913,8,22.6,10917,4814,6103,6.4,14.6,5987,8,29.2,0,134,137,3377
1977,09,d) 20 to 49,3432,4067,105877,100700,374,9.5,153,3.9,23256,7912,15344,7.9,23.1,12902,5552,7350,5.5,12.8,10354,10.3,25.6,0,59,59,3414
1977,09,e) 50 to 99,1147,1610,74769,70901,195,12.6,62,4,15345,5349,9996,7.5,21.6,7609,2820,4789,4,10.7,7736,10.9,21.4,0,19,20,2123
1977,09,f) 100 to 249,727,1427,81091,79200,132,9.4,73,5.2,14292,3578,10714,4.5,18,10509,3454,7055,4.4,13.3,3783,4.7,26.6,0,11,11,2282
1977,09,g) 250 to 499,301,652,51118,47058,88,14,42,6.7,11636,6205,5431,13.2,24.7,3516,684,2832,1.5,7.5,8120,17.2,15,0,,,
1977,09,h) 500 to 999,237,662,51163,50573,45,6.8,49,7.4,5518,1836,3682,3.6,10.9,4337,1184,3153,2.3,8.6,1181,2.3,17.2,0,,,
1977,09,i) 1000 to 2499,280,787,77253,71414,64,8.1,61,7.8,16740,2870,13870,4,23.4,5061,1881,3180,2.6,7.1,11679,16.3,14.2,0,,,
1977,09,j) 2500 to 4999,206,687,52714,49568,53,7.7,51,7.4,10430,1150,9280,2.3,21,4138,1201,2937,2.4,8.3,6292,12.7,16.6,0,,,
1977,09,k) 5000 to 9999,171,807,75641,71576,115,15,52,6.8,12083,3156,8927,4.4,16.9,3952,909,3043,1.3,5.5,8131,11.4,11,0,,,
1977,09,l) 10000+,345,2798,319076,313588,298,10.7,273,9.8,46082,9124,36958,2.9,14.7,35105,7550,27555,2.4,11.2,10977,3.5,22.4,0,,,
1977,10,a) 1 to 4,5333,5346,12268,11665,1288,24.9,914,17.7,4685,3475,1210,29.8,40.2,3478,2244,1234,19.2,29.8,1207,10.4,59.6,1,674,675,
1977,10,b) 5 to 9,1993,2055,13437,13061,209,10.4,116,5.8,3506,1762,1744,13.5,26.8,2754,1246,1508,9.5,21.1,752,5.7,42.2,0,74,76,913
1977,10,c) 10 to 19,1098,1204,15128,14730,136,11.7,57,4.9,3755,1861,1894,12.6,25.5,2959,1260,1699,8.6,20.1,796,5.4,40.2,0,36,36,948
1977,10,d) 20 to 49,641,803,18102,18143,93,12,39,5,3181,1348,1833,7.4,17.5,3262,1202,2060,6.6,18,-81,-0.5,35,0,15,15,853
1977,10,e) 50 to 99,217,382,11586,11663,49,13.4,18,4.9,2295,983,1312,8.4,19.7,2449,807,1642,6.9,21,-154,-1.3,39.4,0,6,6,715
1977,10,f) 100 to 249,139,212,10019,10082,26,12.8,10,4.9,2046,1214,832,12,20.3,2171,629,1542,6.2,21.5,-125,-1.2,40.6,1,2,2,
1977,10,g) 250 to 499,78,146,8415,8091,16,11.3,6,4.3,1453,804,649,9.9,18,804,96,708,1.2,9.9,649,8.1,19.8,0,,,
1977,10,h) 500 to 999,66,200,9001,8870,20,9.9,25,12.3,1568,547,1021,6.2,17.7,1305,369,936,4.2,14.7,263,3,29.4,0,,,
1977,10,i) 1000 to 2499,77,173,8618,8301,13,7.6,9,5.3,1785,149,1636,1.8,21.5,1150,122,1028,1.5,13.9,635,7.6,27.8,0,,,
1977,10,j) 2500 to 4999,68,132,7286,7195,11,8.3,13,9.8,1531,361,1170,5,21.3,1349,76,1273,1.1,18.7,182,2.6,37.4,0,,,
1977,10,k) 5000 to 9999,66,130,10071,10132,18,14.6,8,6.5,1166,289,877,2.9,11.5,1288,194,1094,1.9,12.7,-122,-1.2,23,0,,,
1977,10,l) 10000+,172,682,99204,98929,75,11.3,35,5.3,7846,1467,6379,1.5,7.9,7295,813,6482,0.8,7.4,551,0.5,14.8,0,,,
1977,11,a) 1 to 4,6341,6382,13841,13671,1368,21.6,1232,19.4,4814,3509,1305,25.7,35.2,4473,3140,1333,23,32.7,341,2.5,65.4,0,908,908,2352
1977,11,b) 5 to 9,2472,2521,16430,16384,248,10,183,7.4,4042,2235,1807,13.6,24.7,3950,2022,1928,12.3,24.1,92,0.6,48.2,0,112,114,1361
1977,11,c) 10 to 19,1587,1662,20979,20950,135,8.2,89,5.4,4196,1825,2371,8.7,20,4137,1811,2326,8.6,19.7,59,0.3,39.4,0,58,58,1391
1977,11,d) 20 to 49,1134,1299,31357,30808,157,12.5,73,5.8,7035,3255,3780,10.6,22.8,5936,2874,3062,9.3,19.3,1099,3.5,38.6,0,37,39,2073
1977,11,e) 50 to 99,435,621,22024,22410,98,16.6,41,7,4641,2520,2121,11.2,20.7,5413,2183,3230,9.7,24.2,-772,-3.5,41.4,0,11,11,1406
1977,11,f) 100 to 249,338,626,26907,27265,92,15.4,33,5.5,4994,2762,2232,10.1,18.3,5709,1893,3816,6.9,20.9,-715,-2.6,36.6,0,5,5,1316
1977,11,g) 250 to 499,175,360,20176,19928,28,7.8,27,7.5,3419,613,2806,3.1,17.2,2922,985,1937,4.9,14.7,497,2.5,29.4,0,,,
